Localización;Edad;Sexo;Causa De Muerte O Lesión;Porcentaje Del Total Muertes 2017;Variación Porcentual Anual Muertes 2010-2017
Brasil;20 a 30 años;Hombres;Alzheimer's disease and other dementias;0,11578;0,0367
Brasil;20 a 30 años;Hombres;Parkinson's disease;0,10366;-0,00474
Brasil;20 a 30 años;Hombres;Epilepsy;0,13898;-0,12729
Brasil;20 a 30 años;Hombres;Multiple sclerosis;0,03157;0,10448
Brasil;20 a 30 años;Hombres;Motor neuron disease;0,15153;0,08458
Brasil;20 a 30 años;Hombres;Other neurological disorders;0,07273;0,08036
Brasil;20 a 30 años;Hombres;Schizophrenia;0,09249;-0,14818
Brasil;20 a 30 años;Hombres;Alcohol use disorders;0,14664;0,0363
Brasil;20 a 30 años;Hombres;Drug use disorders;0,03292;0,15302
Brasil;20 a 30 años;Hombres;Depressive disorders;0,06335;0,05834
Brasil;20 a 30 años;Hombres;Bipolar disorder;0,14951;0,02601
Brasil;20 a 30 años;Hombres;Anxiety disorders;0,13181;0,02598
Brasil;20 a 30 años;Hombres;Eating disorders;0,02527;-0,03789
Brasil;20 a 30 años;Hombres;Autism spectrum disorders;0,08087;0,08113
Brasil;20 a 30 años;Hombres;Attention-deficit/hyperactivity disorder;0,04895;0,14302
Brasil;20 a 30 años;Hombres;Conduct disorder;0,00575;-0,05191
Brasil;20 a 30 años;Hombres;Idiopathic developmental intellectual disability;0,10771;0,04417
Brasil;20 a 30 años;Hombres;Other mental disorders;0,01579;-0,03556
Brasil;20 a 30 años;Hombres;Diabetes mellitus;0,13884;0,06547
Brasil;20 a 30 años;Hombres;Acute glomerulonephritis;0,1572;0,13128
Brasil;20 a 30 años;Hombres;Chronic kidney disease;0,00424;0,00271
Brasil;20 a 30 años;Hombres;Urinary diseases and male infertility;0,12078;0,00922
Brasil;20 a 30 años;Hombres;Gynecological diseases;0,12803;-0,0436
Brasil;20 a 30 años;Hombres;Hemoglobinopathies and hemolytic anemias;0,06109;-0,05982
Brasil;20 a 30 años;Hombres;Endocrine, metabolic, blood, and immune disorders;0,02513;0,05145
Brasil;20 a 30 años;Hombres;Rheumatoid arthritis;0,03951;0,08669
Brasil;20 a 30 años;Hombres;Osteoarthritis;0,05991;-0,13183
Brasil;20 a 30 años;Hombres;Low back pain;0,1421;0,02562
Brasil;20 a 30 años;Hombres;Neck pain;0,11757;0,12734
Brasil;20 a 30 años;Hombres;Gout;0,10519;0,06834
Brasil;20 a 30 años;Hombres;Other musculoskeletal disorders;0,03935;-0,09046
Brasil;20 a 30 años;Hombres;Congenital birth defects;0,12268;0,08377
Brasil;20 a 30 años;Hombres;Dermatitis;0,11152;0,08153
Brasil;20 a 30 años;Hombres;Psoriasis;0,08146;0,02564
Brasil;20 a 30 años;Hombres;Scabies;0,05082;-0,0866
Brasil;20 a 30 años;Hombres;Fungal skin diseases;0,06914;0,1096
Brasil;20 a 30 años;Hombres;Viral skin diseases;0,05584;-0,1388
Brasil;20 a 30 años;Hombres;Acne vulgaris;0,08677;-0,16196
Brasil;20 a 30 años;Hombres;Alopecia areata;0,00646;0,03249
Brasil;20 a 30 años;Hombres;Pruritus;0,09779;0,14847
Brasil;20 a 30 años;Hombres;Urticaria;0,1019;-0,07478
Brasil;20 a 30 años;Hombres;Decubitus ulcer;0,12167;-0,09055
Brasil;20 a 30 años;Hombres;Other skin and subcutaneous diseases;0,11928;-0,09453
Brasil;20 a 30 años;Hombres;Age-related and other hearing loss;0,02801;-0,08122
Brasil;20 a 30 años;Hombres;Other sense organ diseases;0,10784;0,07854
Brasil;20 a 30 años;Hombres;Oral disorders;0,11355;-0,15243
Brasil;20 a 30 años;Hombres;Sudden infant death syndrome;0,11511;0,19472
Brasil;20 a 30 años;Hombres;Road injuries;0,04875;-0,0562
Brasil;20 a 30 años;Hombres;Other transport injuries;0,13506;-0,06827
Brasil;20 a 30 años;Hombres;Falls;0,08041;-0,0871
Brasil;20 a 30 años;Hombres;Drowning;0,0543;-0,11533
Brasil;20 a 30 años;Hombres;Fire, heat, and hot substances;0,14201;0,02781
Brasil;20 a 30 años;Hombres;Poisonings;0,10074;0,19561
Brasil;20 a 30 años;Hombres;Exposure to mechanical forces;0,13771;0,0202
Brasil;20 a 30 años;Hombres;Adverse effects of medical treatment;0,00516;-0,08068
Brasil;20 a 30 años;Hombres;Animal contact;0,15372;-0,0564
Brasil;20 a 30 años;Hombres;Foreign body;0,00613;-0,04175
Brasil;20 a 30 años;Hombres;Other unintentional injuries;0,06237;0,17331
Brasil;20 a 30 años;Hombres;Self-harm;0,0107;-0,01231
Brasil;20 a 30 años;Hombres;Interpersonal violence;0,11506;0,19021
Brasil;20 a 30 años;Hombres;Exposure to forces of nature;0,12445;0,06448
Brasil;20 a 30 años;Hombres;Environmental heat and cold exposure;0,02571;-0,08729
Brasil;20 a 30 años;Hombres;Ebola;0,11299;0,14954
Brasil;20 a 30 años;Hombres;Executions and police conflict;0,06754;0,07961
Brasil;20 a 30 años;Hombres;Zika virus;0,00318;0,09908
Brasil;20 a 30 años;Hombres;Guinea worm disease;0,08638;0,19649
Brasil;20 a 30 años;Hombres;Conflict and terrorism;0,06108;0,09057
Brasil;20 a 30 años;Hombres;Typhoid and paratyphoid;0,09119;0,05252
Brasil;20 a 30 años;Hombres;Invasive Non-typhoidal Salmonella (iNTS);0,05128;-0,15437
Brasil;20 a 30 años;Hombres;Headache disorders;0,09029;0,02524
Brasil;20 a 30 años;Hombres;Bacterial skin diseases;0,03584;-0,01269
Brasil;20 a 30 años;Hombres;Blindness and vision impairment;0,01287;-0,0392
Brasil;20 a 30 años;Hombres;Upper digestive system diseases;0,15443;-0,13455
Brasil;30 a 40 años;Mujeres;Tuberculosis;0,03068;0,02151
Brasil;30 a 40 años;Mujeres;HIV/AIDS;0,12001;-0,02355
Brasil;30 a 40 años;Mujeres;Diarrheal diseases;0,15276;-0,16968
Brasil;30 a 40 años;Mujeres;Other intestinal infectious diseases;0,0007;-0,13523
Brasil;30 a 40 años;Mujeres;Lower respiratory infections;0,13886;-0,12376
Brasil;30 a 40 años;Mujeres;Upper respiratory infections;0,06498;-0,11005
Brasil;30 a 40 años;Mujeres;Otitis media;0,12981;-0,07992
Brasil;30 a 40 años;Mujeres;Meningitis;0,04496;-0,10851
Brasil;30 a 40 años;Mujeres;Encephalitis;0,0973;0,08928
Brasil;30 a 40 años;Mujeres;Diphtheria;0,12099;0,06011
Brasil;30 a 40 años;Mujeres;Whooping cough;0,09235;-0,02088
Brasil;30 a 40 años;Mujeres;Tetanus;0,09803;-0,04632
Brasil;30 a 40 años;Mujeres;Measles;0,06751;0,19675
Brasil;30 a 40 años;Mujeres;Varicella and herpes zoster;0,04719;-0,16692
Brasil;30 a 40 años;Mujeres;Malaria;0,03998;-0,02404
Brasil;30 a 40 años;Mujeres;Chagas disease;0,15466;0,1583
Brasil;30 a 40 años;Mujeres;Leishmaniasis;0,09718;0,18889
Brasil;30 a 40 años;Mujeres;African trypanosomiasis;0,04897;0,11012
Brasil;30 a 40 años;Mujeres;Schistosomiasis;0,04862;0,07692
Brasil;30 a 40 años;Mujeres;Cysticercosis;0,042;-0,02817
Brasil;30 a 40 años;Mujeres;Cystic echinococcosis;0,00485;-0,04757
Brasil;30 a 40 años;Mujeres;Lymphatic filariasis;0,14428;0,00564
Brasil;30 a 40 años;Mujeres;Onchocerciasis;0,00183;-0,08061
Brasil;30 a 40 años;Mujeres;Trachoma;0,14352;-0,01778
Brasil;30 a 40 años;Mujeres;Dengue;0,051;0,10127
Brasil;30 a 40 años;Mujeres;Yellow fever;0,14486;-0,14204
Brasil;30 a 40 años;Mujeres;Rabies;0,1039;0,08386
Brasil;30 a 40 años;Mujeres;Intestinal nematode infections;0,14966;0,06459
Brasil;30 a 40 años;Mujeres;Food-borne trematodiases;0,15173;-0,01324
Brasil;30 a 40 años;Mujeres;Other neglected tropical diseases;0,06002;-0,14669
Brasil;30 a 40 años;Mujeres;Maternal disorders;0,13918;-0,04494
Brasil;30 a 40 años;Mujeres;Neonatal disorders;0,01624;0,00442
Brasil;30 a 40 años;Mujeres;Protein-energy malnutrition;0,13955;-0,01851
Brasil;30 a 40 años;Mujeres;Iodine deficiency;0,02398;-0,04861
Brasil;30 a 40 años;Mujeres;Vitamin A deficiency;0,00132;-0,16027
Brasil;30 a 40 años;Mujeres;Dietary iron deficiency;0,01972;0,16497
Brasil;30 a 40 años;Mujeres;Other nutritional deficiencies;0,02513;-0,05398
Brasil;30 a 40 años;Mujeres;Sexually transmitted infections excluding HIV;0,04467;0,18303
Brasil;30 a 40 años;Mujeres;Acute hepatitis;0,02173;0,19087
Brasil;30 a 40 años;Mujeres;Leprosy;0,01806;0,16208
Brasil;30 a 40 años;Mujeres;Other unspecified infectious diseases;0,08116;-0,06661
Brasil;30 a 40 años;Mujeres;Esophageal cancer;0,1417;0,0494
Brasil;30 a 40 años;Mujeres;Stomach cancer;0,04102;0,15935
Brasil;30 a 40 años;Mujeres;Liver cancer;0,04844;0,14742
Brasil;30 a 40 años;Mujeres;Larynx cancer;0,03202;0,1357
Brasil;30 a 40 años;Mujeres;Tracheal, bronchus, and lung cancer;0,00134;-0,04927
Brasil;30 a 40 años;Mujeres;Breast cancer;0,05081;0,13836
Brasil;30 a 40 años;Mujeres;Cervical cancer;0,00537;0,0844
Brasil;30 a 40 años;Mujeres;Uterine cancer;0,14204;0,02029
Brasil;30 a 40 años;Mujeres;Prostate cancer;0,10489;-0,10633
Brasil;30 a 40 años;Mujeres;Colon and rectum cancer;0,11985;0,00525
Brasil;30 a 40 años;Mujeres;Lip and oral cavity cancer;0,0134;0,09558
Brasil;30 a 40 años;Mujeres;Nasopharynx cancer;0,12632;-0,16541
Brasil;30 a 40 años;Mujeres;Other pharynx cancer;0,06501;-0,13675
Brasil;30 a 40 años;Mujeres;Gallbladder and biliary tract cancer;0,07155;-0,11193
Brasil;30 a 40 años;Mujeres;Pancreatic cancer;0,15308;0,002
Brasil;30 a 40 años;Mujeres;Malignant skin melanoma;0,0041;0,17664
Brasil;30 a 40 años;Mujeres;Non-melanoma skin cancer;0,15111;-0,00051
Brasil;30 a 40 años;Mujeres;Ovarian cancer;0,12022;-0,10989
Brasil;30 a 40 años;Mujeres;Testicular cancer;0,00271;-0,00841
Brasil;30 a 40 años;Mujeres;Kidney cancer;0,15845;-0,00068
Brasil;30 a 40 años;Mujeres;Bladder cancer;0,02569;-0,14496
Brasil;30 a 40 años;Mujeres;Brain and nervous system cancer;0,10626;-0,1169
Brasil;30 a 40 años;Mujeres;Thyroid cancer;0,13489;0,07614
Brasil;30 a 40 años;Mujeres;Mesothelioma;0,13275;0,01231
Brasil;30 a 40 años;Mujeres;Hodgkin lymphoma;0,0375;0,19369
Brasil;30 a 40 años;Mujeres;Non-Hodgkin lymphoma;0,1178;0,03282
Brasil;30 a 40 años;Mujeres;Multiple myeloma;0,09679;0,17222
Brasil;30 a 40 años;Mujeres;Leukemia;0,0318;-0,15351
Brasil;30 a 40 años;Mujeres;Other malignant neoplasms;0,13625;0,09388
Brasil;30 a 40 años;Mujeres;Other neoplasms;0,09229;-0,12903
Brasil;30 a 40 años;Mujeres;Rheumatic heart disease;0,13151;0,12724
Brasil;30 a 40 años;Mujeres;Ischemic heart disease;0,08544;-0,16543
Brasil;30 a 40 años;Mujeres;Stroke;0,02515;-0,09758
Brasil;30 a 40 años;Mujeres;Hypertensive heart disease;0,15868;-0,08215
Brasil;30 a 40 años;Mujeres;Cardiomyopathy and myocarditis;0,12685;0,1041
Brasil;30 a 40 años;Mujeres;Atrial fibrillation and flutter;0,04233;-0,03904
Brasil;30 a 40 años;Mujeres;Aortic aneurysm;0,14382;-0,03118
Brasil;30 a 40 años;Mujeres;Peripheral artery disease;0,10377;0,03559
Brasil;30 a 40 años;Mujeres;Endocarditis;0,04969;0,10436
Brasil;30 a 40 años;Mujeres;Non-rheumatic valvular heart disease;0,05795;-0,02042
Brasil;30 a 40 años;Mujeres;Other cardiovascular and circulatory diseases;0,0779;-0,18103
Brasil;30 a 40 años;Mujeres;Chronic obstructive pulmonary disease;0,12203;-0,05062
Brasil;30 a 40 años;Mujeres;Pneumoconiosis;0,15246;-0,06114
Brasil;30 a 40 años;Mujeres;Asthma;0,1138;0,10328
Brasil;30 a 40 años;Mujeres;Interstitial lung disease and pulmonary sarcoidosis;0,05465;-0,02369
Brasil;30 a 40 años;Mujeres;Other chronic respiratory diseases;0,09292;-0,08162
Brasil;30 a 40 años;Mujeres;Cirrhosis and other chronic liver diseases;0,03502;0,06257
Brasil;30 a 40 años;Mujeres;Appendicitis;0,01546;0,15129
Brasil;30 a 40 años;Mujeres;Paralytic ileus and intestinal obstruction;0,02165;0,06574
Brasil;30 a 40 años;Mujeres;Inguinal, femoral, and abdominal hernia;0,10774;-0,13587
Brasil;30 a 40 años;Mujeres;Inflammatory bowel disease;0,0123;-0,15299
Brasil;30 a 40 años;Mujeres;Vascular intestinal disorders;0,12612;0,02233
Brasil;30 a 40 años;Mujeres;Gallbladder and biliary diseases;0,12691;-0,0214
Brasil;30 a 40 años;Mujeres;Pancreatitis;0,0496;0,19094
Brasil;30 a 40 años;Mujeres;Other digestive diseases;0,09301;-0,11484
Brasil;30 a 40 años;Mujeres;Alzheimer's disease and other dementias;0,0753;-0,02162
Brasil;30 a 40 años;Mujeres;Parkinson's disease;0,15322;0,12251
Brasil;30 a 40 años;Mujeres;Epilepsy;0,14449;-0,08204
Brasil;30 a 40 años;Mujeres;Multiple sclerosis;0,14853;-0,13574
Brasil;30 a 40 años;Mujeres;Motor neuron disease;0,0982;0,11347
Brasil;30 a 40 años;Mujeres;Other neurological disorders;0,08436;-0,16528
Brasil;30 a 40 años;Mujeres;Schizophrenia;0,02554;0,14803
Brasil;30 a 40 años;Mujeres;Alcohol use disorders;0,07357;0,11001
Brasil;30 a 40 años;Mujeres;Drug use disorders;0,01198;-0,17477
Brasil;30 a 40 años;Mujeres;Depressive disorders;0,10264;0,1075
Brasil;30 a 40 años;Mujeres;Bipolar disorder;0,12255;0,05946
Brasil;30 a 40 años;Mujeres;Anxiety disorders;0,13173;-0,12487
Brasil;30 a 40 años;Mujeres;Eating disorders;0,0053;-0,02256
Brasil;30 a 40 años;Mujeres;Autism spectrum disorders;0,03279;0,10919
Brasil;30 a 40 años;Mujeres;Attention-deficit/hyperactivity disorder;0,00253;0,17792
Brasil;30 a 40 años;Mujeres;Conduct disorder;0,01478;-0,08671
Brasil;30 a 40 años;Mujeres;Idiopathic developmental intellectual disability;0,11632;-0,07152
Brasil;30 a 40 años;Mujeres;Other mental disorders;0,02809;-0,10495
Brasil;30 a 40 años;Mujeres;Diabetes mellitus;0,07177;-0,1334
Brasil;30 a 40 años;Mujeres;Acute glomerulonephritis;0,08004;-0,02144
Brasil;30 a 40 años;Mujeres;Chronic kidney disease;0,04101;0,10191
Brasil;30 a 40 años;Mujeres;Urinary diseases and male infertility;0,11684;0,09646
Brasil;30 a 40 años;Mujeres;Gynecological diseases;0,01909;-0,072
Brasil;30 a 40 años;Mujeres;Hemoglobinopathies and hemolytic anemias;0,03454;0,15401
Brasil;30 a 40 años;Mujeres;Endocrine, metabolic, blood, and immune disorders;0,0321;-0,163
Brasil;30 a 40 años;Mujeres;Rheumatoid arthritis;0,05394;0,03607
Brasil;30 a 40 años;Mujeres;Osteoarthritis;0,11821;0,19126
Brasil;30 a 40 años;Mujeres;Low back pain;0,12591;0,00701
Brasil;30 a 40 años;Mujeres;Neck pain;0,05682;-0,15801
Brasil;30 a 40 años;Mujeres;Gout;0,10792;-0,11268
Brasil;30 a 40 años;Mujeres;Other musculoskeletal disorders;0,12679;0,09146
Brasil;30 a 40 años;Mujeres;Congenital birth defects;0,08546;-0,05484
Brasil;30 a 40 años;Mujeres;Dermatitis;0,06555;0,15793
Brasil;30 a 40 años;Mujeres;Psoriasis;0,1011;-0,15841
Brasil;30 a 40 años;Mujeres;Scabies;0,04997;-0,09697
Brasil;30 a 40 años;Mujeres;Fungal skin diseases;0,0364;-0,15336
Brasil;30 a 40 años;Mujeres;Viral skin diseases;0,15741;-0,09514
Brasil;30 a 40 años;Mujeres;Acne vulgaris;0,15164;0,04425
Brasil;30 a 40 años;Mujeres;Alopecia areata;0,12336;-0,06904
Brasil;30 a 40 años;Mujeres;Pruritus;0,14199;-0,00233
Brasil;30 a 40 años;Mujeres;Urticaria;0,12538;-0,13322
Brasil;30 a 40 años;Mujeres;Decubitus ulcer;0,07427;0,19368
Brasil;30 a 40 años;Mujeres;Other skin and subcutaneous diseases;0,15394;-0,06669
Brasil;30 a 40 años;Mujeres;Age-related and other hearing loss;0,09503;0,11926
Brasil;30 a 40 años;Mujeres;Other sense organ diseases;0,0857;-0,15272
Brasil;30 a 40 años;Mujeres;Oral disorders;0,09231;-0,1346
Brasil;30 a 40 años;Mujeres;Sudden infant death syndrome;0,08156;0,02637
Brasil;30 a 40 años;Mujeres;Road injuries;0,03672;0,05243
Brasil;30 a 40 años;Mujeres;Other transport injuries;0,11205;-0,1457
Brasil;30 a 40 años;Mujeres;Falls;0,13473;0,00722
Brasil;30 a 40 años;Mujeres;Drowning;0,0291;-0,17141
Brasil;30 a 40 años;Mujeres;Fire, heat, and hot substances;0,11803;0,10674
Brasil;30 a 40 años;Mujeres;Poisonings;0,05596;-0,07079
Brasil;30 a 40 años;Mujeres;Exposure to mechanical forces;0,12569;0,05315
Brasil;30 a 40 años;Mujeres;Adverse effects of medical treatment;0,15441;0,14901
Brasil;30 a 40 años;Mujeres;Animal contact;0,07905;0,12553
Brasil;30 a 40 años;Mujeres;Foreign body;0,15328;0,06335
Brasil;30 a 40 años;Mujeres;Other unintentional injuries;0,09293;0,0103
Brasil;30 a 40 años;Mujeres;Self-harm;0,0877;0,19372
Brasil;30 a 40 años;Mujeres;Interpersonal violence;0,05782;0,17248
Brasil;30 a 40 años;Mujeres;Exposure to forces of nature;0,15857;-0,02227
Brasil;30 a 40 años;Mujeres;Environmental heat and cold exposure;0,0236;-0,11513
Brasil;30 a 40 años;Mujeres;Ebola;0,02281;-0,03064
Brasil;30 a 40 años;Mujeres;Executions and police conflict;0,06335;0,05236
Brasil;30 a 40 años;Mujeres;Zika virus;0,07794;-0,1686
Brasil;30 a 40 años;Mujeres;Guinea worm disease;0,09445;0,0391
Brasil;30 a 40 años;Mujeres;Conflict and terrorism;0,11161;-0,13118
Brasil;30 a 40 años;Mujeres;Typhoid and paratyphoid;0,15759;0,06059
Brasil;30 a 40 años;Mujeres;Invasive Non-typhoidal Salmonella (iNTS);0,05129;0,12882
Brasil;30 a 40 años;Mujeres;Headache disorders;0,10179;0,05282
Brasil;30 a 40 años;Mujeres;Bacterial skin diseases;0,12645;0,09978
Brasil;30 a 40 años;Mujeres;Blindness and vision impairment;0,08335;0,16246
Brasil;30 a 40 años;Mujeres;Upper digestive system diseases;0,14701;-0,07981
Brasil;30 a 40 años;Hombres;Tuberculosis;0,15898;0,0005
Brasil;30 a 40 años;Hombres;HIV/AIDS;0,04746;0,0146
Brasil;30 a 40 años;Hombres;Diarrheal diseases;0,05682;-0,06155
Brasil;30 a 40 años;Hombres;Other intestinal infectious diseases;0,15156;0,14452
Brasil;30 a 40 años;Hombres;Lower respiratory infections;0,03;-0,11381
Brasil;30 a 40 años;Hombres;Upper respiratory infections;0,10375;-0,16869
Brasil;30 a 40 años;Hombres;Otitis media;0,08693;0,03586
Brasil;30 a 40 años;Hombres;Meningitis;0,08924;-0,00718
Brasil;30 a 40 años;Hombres;Encephalitis;0,01094;-0,04917
Brasil;30 a 40 años;Hombres;Diphtheria;0,09647;0,04667
Brasil;30 a 40 años;Hombres;Whooping cough;0,09824;0,08903
Brasil;30 a 40 años;Hombres;Tetanus;0,14517;-0,02006
Brasil;30 a 40 años;Hombres;Measles;0,02102;0,08038
Brasil;30 a 40 años;Hombres;Varicella and herpes zoster;0,08892;-0,0296
Brasil;30 a 40 años;Hombres;Malaria;0,05283;0,16232
Brasil;30 a 40 años;Hombres;Chagas disease;0,15275;-0,05956
Brasil;30 a 40 años;Hombres;Leishmaniasis;0,01438;-0,09442
Brasil;30 a 40 años;Hombres;African trypanosomiasis;0,10916;-0,17274
Brasil;30 a 40 años;Hombres;Schistosomiasis;0,0616;0,00291
Brasil;30 a 40 años;Hombres;Cysticercosis;0,07371;-0,17403
Brasil;30 a 40 años;Hombres;Cystic echinococcosis;0,11597;0,03688
Brasil;30 a 40 años;Hombres;Lymphatic filariasis;0,07223;0,03989
Brasil;30 a 40 años;Hombres;Onchocerciasis;0,02734;0,07359
Brasil;30 a 40 años;Hombres;Trachoma;0,01586;0,1358
Brasil;30 a 40 años;Hombres;Dengue;0,06395;0,06693
Brasil;30 a 40 años;Hombres;Yellow fever;0,05729;-0,01135
Brasil;30 a 40 años;Hombres;Rabies;0,12488;-0,02327
Brasil;30 a 40 años;Hombres;Intestinal nematode infections;0,10974;-0,02346
Brasil;30 a 40 años;Hombres;Food-borne trematodiases;0,1092;0,02733
Brasil;30 a 40 años;Hombres;Other neglected tropical diseases;0,07968;0,08108
Brasil;30 a 40 años;Hombres;Maternal disorders;0,02954;-0,17202
Brasil;30 a 40 años;Hombres;Neonatal disorders;0,05733;-0,03149
Brasil;30 a 40 años;Hombres;Protein-energy malnutrition;0,07021;-0,02145
Brasil;30 a 40 años;Hombres;Iodine deficiency;0,01511;-0,14407
Brasil;30 a 40 años;Hombres;Vitamin A deficiency;0,15106;0,0705
Brasil;30 a 40 años;Hombres;Dietary iron deficiency;0,04179;-0,16028
Brasil;30 a 40 años;Hombres;Other nutritional deficiencies;0,06441;-0,15632
Brasil;30 a 40 años;Hombres;Sexually transmitted infections excluding HIV;0,12171;0,13467
Brasil;30 a 40 años;Hombres;Acute hepatitis;0,05779;-0,1772
Brasil;30 a 40 años;Hombres;Leprosy;0,04661;-0,05805
Brasil;30 a 40 años;Hombres;Other unspecified infectious diseases;0,00751;0,13538
Brasil;30 a 40 años;Hombres;Esophageal cancer;0,05525;-0,03799
Brasil;30 a 40 años;Hombres;Stomach cancer;0,11347;-0,04425
Brasil;30 a 40 años;Hombres;Liver cancer;0,03816;-0,13922
Brasil;30 a 40 años;Hombres;Larynx cancer;0,05462;0,01453
Brasil;30 a 40 años;Hombres;Tracheal, bronchus, and lung cancer;0,00926;-0,07262
Brasil;30 a 40 años;Hombres;Breast cancer;0,06205;-0,1288
Brasil;30 a 40 años;Hombres;Cervical cancer;0,11928;-0,1343
Brasil;30 a 40 años;Hombres;Uterine cancer;0,02975;0,07841
Brasil;30 a 40 años;Hombres;Prostate cancer;0,01079;0,02022
Brasil;30 a 40 años;Hombres;Colon and rectum cancer;0,02177;0,01335
Brasil;30 a 40 años;Hombres;Lip and oral cavity cancer;0,06439;-0,08632
Brasil;30 a 40 años;Hombres;Nasopharynx cancer;0,13743;-0,04787
Brasil;30 a 40 años;Hombres;Other pharynx cancer;0,01611;0,04275
Brasil;30 a 40 años;Hombres;Gallbladder and biliary tract cancer;0,11348;0,01515
Brasil;30 a 40 años;Hombres;Pancreatic cancer;0,14335;-0,06329
Brasil;30 a 40 años;Hombres;Malignant skin melanoma;0,14986;-0,09005
Brasil;30 a 40 años;Hombres;Non-melanoma skin cancer;0,04846;-0,12275
Brasil;30 a 40 años;Hombres;Ovarian cancer;0,02625;-0,01826
Brasil;30 a 40 años;Hombres;Testicular cancer;0,14707;0,10572
Brasil;30 a 40 años;Hombres;Kidney cancer;0,03684;0,06547
Brasil;30 a 40 años;Hombres;Bladder cancer;0,0014;0,02362
Brasil;30 a 40 años;Hombres;Brain and nervous system cancer;0,01506;0,09803
Brasil;30 a 40 años;Hombres;Thyroid cancer;0,03568;-0,08354
Brasil;30 a 40 años;Hombres;Mesothelioma;0,10861;-0,02998
Brasil;30 a 40 años;Hombres;Hodgkin lymphoma;0,00415;0,02516
Brasil;30 a 40 años;Hombres;Non-Hodgkin lymphoma;0,05465;-0,02946
Brasil;30 a 40 años;Hombres;Multiple myeloma;0,02884;0,03352
Brasil;30 a 40 años;Hombres;Leukemia;0,14583;-0,09734
Brasil;30 a 40 años;Hombres;Other malignant neoplasms;0,02084;0,14782
Brasil;30 a 40 años;Hombres;Other neoplasms;0,0812;-0,01753
Brasil;30 a 40 años;Hombres;Rheumatic heart disease;0,03656;-0,02826
Brasil;30 a 40 años;Hombres;Ischemic heart disease;0,07499;0,11399
Brasil;30 a 40 años;Hombres;Stroke;0,07769;0,1573
Brasil;30 a 40 años;Hombres;Hypertensive heart disease;0,09251;0,13089
Brasil;30 a 40 años;Hombres;Cardiomyopathy and myocarditis;0,13958;0,14524
Brasil;30 a 40 años;Hombres;Atrial fibrillation and flutter;0,15353;0,10024
Brasil;30 a 40 años;Hombres;Aortic aneurysm;0,09775;-0,14923
Brasil;30 a 40 años;Hombres;Peripheral artery disease;0,00033;0,14984
Brasil;30 a 40 años;Hombres;Endocarditis;0,01668;-0,06359
Brasil;30 a 40 años;Hombres;Non-rheumatic valvular heart disease;0,1334;0,18235
Brasil;30 a 40 años;Hombres;Other cardiovascular and circulatory diseases;0,02632;-0,01196
Brasil;30 a 40 años;Hombres;Chronic obstructive pulmonary disease;0,02006;0,09462
Brasil;30 a 40 años;Hombres;Pneumoconiosis;0,03215;-0,02664
Brasil;30 a 40 años;Hombres;Asthma;0,01113;0,17852
Brasil;30 a 40 años;Hombres;Interstitial lung disease and pulmonary sarcoidosis;0,00901;0,08141
Brasil;30 a 40 años;Hombres;Other chronic respiratory diseases;0,15622;0,08011
Brasil;30 a 40 años;Hombres;Cirrhosis and other chronic liver diseases;0,09384;-0,09315
Brasil;30 a 40 años;Hombres;Appendicitis;0,05382;0,0184
Brasil;30 a 40 años;Hombres;Paralytic ileus and intestinal obstruction;0,03125;-0,15929
Brasil;30 a 40 años;Hombres;Inguinal, femoral, and abdominal hernia;0,08095;0,19267
Brasil;30 a 40 años;Hombres;Inflammatory bowel disease;0,03794;0,1814
Brasil;30 a 40 años;Hombres;Vascular intestinal disorders;0,08941;-0,15409
Brasil;30 a 40 años;Hombres;Gallbladder and biliary diseases;0,04661;-0,08564
Brasil;30 a 40 años;Hombres;Pancreatitis;0,06018;-0,00495
Brasil;30 a 40 años;Hombres;Other digestive diseases;0,10418;-0,02156
Brasil;30 a 40 años;Hombres;Alzheimer's disease and other dementias;0,01718;0,02893
Brasil;30 a 40 años;Hombres;Parkinson's disease;0,02611;0,01482
Brasil;30 a 40 años;Hombres;Epilepsy;0,00629;-0,06862
Brasil;30 a 40 años;Hombres;Multiple sclerosis;0,11165;0,06552
Brasil;30 a 40 años;Hombres;Motor neuron disease;0,06577;0,14136
Brasil;30 a 40 años;Hombres;Other neurological disorders;0,14034;-0,07109
Brasil;30 a 40 años;Hombres;Schizophrenia;0,03935;-0,12946
Brasil;30 a 40 años;Hombres;Alcohol use disorders;0,02402;0,13157
Brasil;30 a 40 años;Hombres;Drug use disorders;0,14463;0,02966
Brasil;30 a 40 años;Hombres;Depressive disorders;0,10969;-0,1086
Brasil;30 a 40 años;Hombres;Bipolar disorder;0,10113;0,12948
Brasil;30 a 40 años;Hombres;Anxiety disorders;0,14181;-0,13047
Brasil;30 a 40 años;Hombres;Eating disorders;0,06562;0,04611
Brasil;30 a 40 años;Hombres;Autism spectrum disorders;0,05144;0,10908
Brasil;30 a 40 años;Hombres;Attention-deficit/hyperactivity disorder;0,15643;0,09895
Brasil;30 a 40 años;Hombres;Conduct disorder;0,01837;0,14924
Brasil;30 a 40 años;Hombres;Idiopathic developmental intellectual disability;0,03825;-0,0968
Brasil;30 a 40 años;Hombres;Other mental disorders;0,14708;0,04493
Brasil;30 a 40 años;Hombres;Diabetes mellitus;0,12084;0,1184
